Track Name,Artist,Album,Image URL,Spotify URL,Context URI
Ama Yine Sen,Burak Bulut,Ama Yine Sen,https://i.scdn.co/image/ab67616d0000b2734aa8cbd194bbc3c5c08e2d01,https://open.spotify.com/track/0Kg4pWKYkIIgjNOSaQdqJQ,spotify:album:2fizaOAFU7kItJMC944eAj
Sana Güvenmiyorum - Dedub Sessions,Dedublüman,Sana Güvenmiyorum (Dedub Sessions),https://i.scdn.co/image/ab67616d0000b273586d3ac510fd1220ecfb97eb,https://open.spotify.com/track/1lNcnIU4jtqD69Qtfjh8EJ,spotify:album:5ZcHiC8fUSjtOSDw0JaJGv
Mevzu Derin,Soner Sarıkabadayı,Mevzu Derin,https://i.scdn.co/image/ab67616d0000b273d267467be7584338d0bff081,https://open.spotify.com/track/3FkWbO7xBYS3a0MJHN6XlV,spotify:album:7uErRgriSGAo5uk8viwQR7
Tövbe,Derya Bedavacı,Tövbe,https://i.scdn.co/image/ab67616d0000b273a7e06ade75166a22e05c4c9b,https://open.spotify.com/track/3miwaS9uZ7pZHi1zNyLGi0,spotify:album:27Wl0Q1RGlcHVgMgikuZrR
SEVMEYİ DENEMEDİN,BLOK3,OBSESIF,https://i.scdn.co/image/ab67616d0000b2738f9028a4726d40fb8c8e0b44,https://open.spotify.com/track/3ff93VTp2DBbNnDEsAW8Cm,spotify:album:6YCjQU0ElZ6YbC2HaBuLic
Düşüşlerim Fazla,ZEDİ,Düşüşlerim Fazla,https://i.scdn.co/image/ab67616d0000b273fb3d43bd3f0b8b9c6db916ea,https://open.spotify.com/track/3AaGQ8lTi31RBk9WMDfPX5,spotify:album:3wvLRWKTy8exkhC81GjyNV
Aradan Çok Yıllar Geçti,Tuğçe Kandemir,Aradan Çok Yıllar Geçti,https://i.scdn.co/image/ab67616d0000b2739049f9a6b1b62df39848031d,https://open.spotify.com/track/4CDY8eGMrkQjyOTkvsXiq0,spotify:album:4rsN93FJo8QLv2MLSiMivc
Geçiyor Zaman,Semicenk,Geçiyor Zaman,https://i.scdn.co/image/ab67616d0000b273dc4721fefe12a86355da4fed,https://open.spotify.com/track/3ma4Ef3Bnl3UBOV4ShiMLX,spotify:album:0flBR9Gz8N0UXPplEbrP1p
Sana El Pençe Durmam,Emre Fel,Sana El Pençe Durmam,https://i.scdn.co/image/ab67616d0000b27343d6a282106606dad5557046,https://open.spotify.com/track/1cnx5g8kHElNAf28sV3mRJ,spotify:album:7cstnexGC8wmiP8eQJpm3j
Lan,Zeynep Bastık,Lan,https://i.scdn.co/image/ab67616d0000b2738e7b82d15a183fc2010b8183,https://open.spotify.com/track/1whKKdtCiFjN7MW7DrIRUH,spotify:album:1LvnmkkATPS4wBrEPMec26
Yoksun,Ebru Yaşar,Yoksun,https://i.scdn.co/image/ab67616d0000b273dea79d76c3edfa06158c5c52,https://open.spotify.com/track/0Rb3Zf4wemUX45NNoo5H0L,spotify:album:5l3AhfIKrcdqJiYUMySwNb
Canın Beni Çekti,Melike Şahin,Canın Beni Çekti,https://i.scdn.co/image/ab67616d0000b27326e5ad9adc61e533dc7e603a,https://open.spotify.com/track/6xTi66mobAdZcKR3SMyygD,spotify:album:6wxBYLndYtQJeJKmFagVRB
Naçar,Emre Fel,Naçar,https://i.scdn.co/image/ab67616d0000b2731ed0f3097e59ccf5c2eeec91,https://open.spotify.com/track/6Abw6zEw0EbfFC6OJob4Ph,spotify:album:7mtF9hykx8GZYLolBvHvMr
Yasemen,Afra,Yasemen,https://i.scdn.co/image/ab67616d0000b27322eb8ceb4918eaf54d10617b,https://open.spotify.com/track/2SVoUZdzxuDuxBdHSO73KF,spotify:album:10hs7zZCXHauEHe9mjzG0z
Bunca Yıl - Dedub Sessions,Dedublüman,Bunca Yıl (Dedub Sessions),https://i.scdn.co/image/ab67616d0000b273af8f33ec834cc43b161e204f,https://open.spotify.com/track/0mSFwDtiAPPNwBOSFnI3G5,spotify:album:6oEMdYmN0PQXVlr058Jdp5
Kehribar,Burak Bulut,Kehribar,https://i.scdn.co/image/ab67616d0000b27316efbc7804976ba4113235b5,https://open.spotify.com/track/3wtOAcctakLBwmzbCkRSHR,spotify:album:2vJqCgVaPM5YpMlp9laiEX
Ateşe Düştüm,Mert Demir,Ateşe Düştüm,https://i.scdn.co/image/ab67616d0000b273b481ce723911ab6536b8c4e7,https://open.spotify.com/track/3auN910HHNYykQo8i9q5J1,spotify:album:1lvm6v5QA0VkNPw58h8Ezi
Kafamın İçi,Ebru Yaşar,Yine Çalıyor,https://i.scdn.co/image/ab67616d0000b27352cf663a51c74835b6a692da,https://open.spotify.com/track/30kd9r9pbMn6bs6CKyFOCu,spotify:album:2d3z7xdD9R3sAKueFrV2jp
Sardım Seni,Sıla Şahin,Sardım Seni,https://i.scdn.co/image/ab67616d0000b2734de16a3e2b5eed0a8aab1968,https://open.spotify.com/track/5xxjVGDIi14mTYroJO0EgX,spotify:album:4rux82y4QpkrjexTlJ1ADN
Renklensin,Reynmen,Renklensin,https://i.scdn.co/image/ab67616d0000b273293e9af06947897b129b7192,https://open.spotify.com/track/1d02igesB9DREknAVXRiBd,spotify:album:5QTNMJkssQOVw7DZhzHQNL
Onlar Anlamaz Halden,Semicenk,Geçiyor Zaman,https://i.scdn.co/image/ab67616d0000b273dc4721fefe12a86355da4fed,https://open.spotify.com/track/38d47UiHhyu4wdbPYz0ZUB,spotify:album:0flBR9Gz8N0UXPplEbrP1p
Sana Yıldızları Ödediğimden,Bengü Beker,Sana Yıldızları Ödediğimden,https://i.scdn.co/image/ab67616d0000b27311d3580b8439fa11f10f6e53,https://open.spotify.com/track/0fu7d7LgXjClCkgBmnNlc0,spotify:album:745xmwLY8UKgHtxDa9UMYU
Önümüz Yaz,Simge,Önümüz Yaz,https://i.scdn.co/image/ab67616d0000b2737276e8ccef1536051f7033db,https://open.spotify.com/track/28Aau4tlztDlgKJQXrWhZR,spotify:album:1RQR6pJby9qvranN8SuM1v
Kömür,Mabel Matiz,Kömür,https://i.scdn.co/image/ab67616d0000b27382329f98098e0d5c81788ee0,https://open.spotify.com/track/3TbZb6udQT4iqyQXmwBe7T,spotify:album:1Cbcf1YvsNrMZs3pxYLHoD
Canın Sağ Olsun,Semicenk,Canın Sağ Olsun,https://i.scdn.co/image/ab67616d0000b2737c4b5fa9b2ce976aba839e86,https://open.spotify.com/track/0mYqW8vhiw9rgwSwB21JQz,spotify:album:6fpX97EwxmnNGNYeBneybh
Basit Numaralar,Zerrin Özer,Basit Numaralar,https://i.scdn.co/image/ab67616d0000b273b270da567d5ec6bdbf2a5e32,https://open.spotify.com/track/30DEgnb76AxLZgrrvqNErB,spotify:album:2LvXYoKhhnYvGJsyBKIjWA
Tiryakinim,Bayhan,Tiryakinim,https://i.scdn.co/image/ab67616d0000b2736e65aa4e9af77b3314a699fa,https://open.spotify.com/track/5NEqpPrKdN5kkn66GPO5z1,spotify:album:5RBSDuy54EfefItjc5Mfcl
Anılara Dalarız,Ebru Yaşar,Anılara Dalarız,https://i.scdn.co/image/ab67616d0000b2730df40028641d4992135ce848,https://open.spotify.com/track/0Rjq84ntnHd3olOXHPacVr,spotify:album:4LXEyR5YIqDAhA1sB7y4QP
Durma Yürüsene,Melike Şahin,Durma Yürüsene,https://i.scdn.co/image/ab67616d0000b2734c377d3d434c36b3e8e4ce71,https://open.spotify.com/track/7DVu7wGni4DHx9P8L1zbIO,spotify:album:08x2uyRPSt4x3UYwKUuKJc
